day,date,cases,cumulative_cases,recovered,cumulative_recovered,deaths,cumulative_deaths,active_cases
0,25-01-2020,1,1,0,0,0,0,1
1,26-01-2020,0,1,0,0,0,0,1
2,27-01-2020,1,2,0,0,0,0,2
3,28-01-2020,1,3,0,0,0,0,3
4,29-01-2020,0,3,0,0,0,0,3
5,30-01-2020,0,3,0,0,0,0,3
6,31-01-2020,1,4,0,0,0,0,4
7,01-02-2020,0,4,0,0,0,0,4
8,02-02-2020,0,4,0,0,0,0,4
9,03-02-2020,0,4,0,0,0,0,4
10,04-02-2020,1,5,0,0,0,0,5
11,05-02-2020,0,5,0,0,0,0,5
12,06-02-2020,2,7,0,0,0,0,7
13,07-02-2020,0,7,0,0,0,0,7
14,08-02-2020,0,7,0,0,0,0,7
15,09-02-2020,0,7,0,0,0,0,7
16,10-02-2020,0,7,0,0,0,0,7
17,11-02-2020,0,7,0,0,0,0,7
18,12-02-2020,0,7,1,1,0,0,6
19,13-02-2020,0,7,0,1,0,0,6
20,14-02-2020,1,8,0,1,0,0,7
21,15-02-2020,0,8,0,1,0,0,7
22,16-02-2020,0,8,0,1,0,0,7
23,17-02-2020,0,8,0,1,0,0,7
24,18-02-2020,0,8,0,1,0,0,7
25,19-02-2020,0,8,1,2,0,0,6
26,20-02-2020,1,9,1,3,0,0,6
27,21-02-2020,0,9,1,4,0,0,5
28,22-02-2020,0,9,0,4,0,0,5
29,23-02-2020,1,10,0,4,0,0,6
30,24-02-2020,1,11,0,4,0,0,7
31,25-02-2020,0,11,3,7,0,0,4
32,26-02-2020,1,12,0,7,0,0,5
33,27-02-2020,2,14,0,7,0,0,7
34,28-02-2020,2,16,0,7,0,0,9
35,29-02-2020,4,20,0,7,0,0,13
36,01-03-2020,4,24,0,7,0,0,17
37,02-03-2020,0,24,0,7,0,0,17
38,03-03-2020,9,33,0,7,0,0,26
39,04-03-2020,1,34,0,7,0,0,27
40,05-03-2020,12,46,1,8,0,0,38
41,06-03-2020,8,54,0,8,0,0,46
42,07-03-2020,6,60,0,8,0,0,52
43,08-03-2020,7,67,0,8,1,1,58
44,09-03-2020,19,86,1,9,0,1,76
45,10-03-2020,9,95,0,9,0,1,85
46,11-03-2020,21,116,0,9,1,2,105
47,12-03-2020,40,156,0,9,0,2,145
48,13-03-2020,42,198,1,10,0,2,186
49,14-03-2020,59,257,0,10,0,2,245
50,15-03-2020,84,341,0,10,0,2,329
51,16-03-2020,100,441,0,10,3,5,426
52,17-03-2020,156,597,0,10,3,8,579
53,18-03-2020,130,727,1,11,1,9,707
54,19-03-2020,146,873,2,13,3,12,848
55,20-03-2020,214,1087,2,15,1,13,1059
56,21-03-2020,244,1331,1,16,5,18,1297
57,22-03-2020,140,1471,2,18,3,21,1432
58,23-03-2020,620,2091,94,112,3,24,1955
59,24-03-2020,728,2819,74,186,3,27,2606
60,25-03-2020,589,3408,12,198,8,35,3175
61,26-03-2020,634,4042,31,229,4,39,3774
62,27-03-2020,714,4756,127,356,16,55,4345
63,28-03-2020,898,5654,149,505,6,61,5088
64,29-03-2020,665,6319,84,589,5,66,5664
65,30-03-2020,1127,7446,533,1122,24,90,6234
66,31-03-2020,1143,8589,184,1306,36,126,7157
67,01-04-2020,1599,10188,370,1676,19,145,8367
68,02-04-2020,1587,11775,305,1981,25,170,9624
69,03-04-2020,1202,12977,354,2335,53,223,10419
70,04-04-2020,1429,14406,413,2748,49,272,11386
71,05-04-2020,1506,15912,365,3113,30,302,12497
72,06-04-2020,1250,17162,516,3629,51,353,13180
73,07-04-2020,1397,18559,434,4063,64,417,14079
74,08-04-2020,1291,19850,603,4666,55,472,14712
75,09-04-2020,1550,21400,658,5324,69,541,15535
76,10-04-2020,1312,22712,702,6026,74,615,16071
77,11-04-2020,1247,23959,637,6663,74,689,16607
78,12-04-2020,1098,25057,522,7185,56,745,17127
79,13-04-2020,1368,26425,586,7771,76,821,17833
80,14-04-2020,1460,27885,477,8248,145,966,18671
81,15-04-2020,1346,29231,744,8992,104,1070,19169
82,16-04-2020,1732,30963,733,9725,179,1249,19989
83,17-04-2020,1883,32846,831,10556,116,1365,20925
84,18-04-2020,1530,34376,664,11220,162,1527,21629
85,19-04-2020,1634,36010,636,11856,109,1636,22518
86,20-04-2020,1842,37852,743,12599,121,1757,23496
87,21-04-2020,1531,39383,602,13201,152,1909,24273
88,22-04-2020,1970,41353,798,13999,163,2072,25282
89,23-04-2020,1863,43216,775,14774,160,2232,26210
90,24-04-2020,1624,44840,780,15554,157,2389,26897
91,25-04-2020,1419,46259,884,16438,163,2552,27269
92,26-04-2020,1587,47846,896,17334,118,2670,27842
93,27-04-2020,1632,49478,947,18281,147,2817,28380
94,28-04-2020,1466,50944,963,19244,141,2958,28742
95,29-04-2020,1693,52637,1096,20340,175,3133,29164
96,30-04-2020,1573,54210,1097,21437,145,3278,29495
97,01-05-2020,1956,56166,1327,22764,229,3507,29895
98,02-05-2020,1578,57744,1050,23814,147,3654,30276
99,03-05-2020,2560,60304,1107,24921,114,3768,31615
100,04-05-2020,1482,61786,1109,26030,212,3980,31776
101,05-05-2020,1268,63054,976,27006,187,4167,31881
102,06-05-2020,1487,64541,1178,28184,180,4347,32010
103,07-05-2020,1510,66051,1076,29260,175,4522,32269
104,08-05-2020,1468,67519,979,30239,155,4677,32603
105,09-05-2020,1242,68761,1023,31262,125,4802,32697
106,10-05-2020,1167,69928,847,32109,161,4963,32856
107,11-05-2020,1187,71115,898,33007,136,5099,33009
108,12-05-2020,1158,72273,1048,34055,183,5282,32936
109,13-05-2020,1149,73422,1122,35177,127,5409,32836
110,14-05-2020,1223,74645,927,36104,166,5575,32966
111,15-05-2020,1178,75823,804,36908,87,5662,33253
112,16-05-2020,1233,77056,924,37832,118,5780,33444
113,17-05-2020,1126,78182,731,38563,103,5883,33736
114,18-05-2020,1076,79258,688,39251,57,5940,34067
115,19-05-2020,1115,80373,812,40063,70,6010,34300
116,20-05-2020,1079,81452,726,40789,125,6135,34528
